Movie,Runtime (in min),Genre,Rating,Box Office,Director
"O Brother, Where Art Thou?",107,"Adventure, Comedy, Crime",7.7,$45.51M,Joel Coen
Lost in Translation,102,"Comedy, Drama",7.7,$44.59M,Sofia Coppola
Happiness,134,"Comedy, Drama",7.7,$2.81M,Todd Solondz
Black Hawk Down,144,"Action, Drama, History",7.7,$108.64M,Ridley Scott
As Good as It Gets,139,"Comedy, Drama, Romance",7.7,$148.48M,James L. Brooks
Deliverance,109,"Adventure, Drama, Thriller",7.7,$7.06M,John Boorman
Halloween,91,"Horror, Thriller",7.7,$47.00M,John Carpenter
Billy Elliot,110,"Drama, Music",7.7,$22.00M,Stephen Daldry
Zodiac,157,"Crime, Drama, Mystery",7.7,$33.08M,David Fincher
First Blood,93,"Action, Adventure, Thriller",7.7,$47.21M,Ted Kotcheff
When Harry Met Sally...,95,"Comedy, Drama, Romance",7.7,$92.82M,Rob Reiner
Home Alone,103,"Comedy, Family",7.7,$285.76M,Chris Columbus
Blue Velvet,120,"Crime, Drama, Mystery",7.7,$8.55M,David Lynch
Being John Malkovich,113,"Comedy, Drama, Fantasy",7.7,$22.86M,Spike Jonze
Saw,103,"Horror, Mystery, Thriller",7.6,$56.00M,James Wan
The Fifth Element,126,"Action, Adventure, Sci-Fi",7.6,$63.54M,Luc Besson
Un long dimanche de fiançailles,133,"Drama, Mystery, Romance",7.6,$6.17M,Jean-Pierre Jeunet
Match Point,124,"Drama, Romance, Thriller",7.6,$23.09M,Woody Allen
The Bridges of Madison County,135,"Drama, Romance",7.6,$71.52M,Clint Eastwood
The Birds,119,"Drama, Horror, Mystery",7.6,$11.40M,Alfred Hitchcock
The Others,101,"Horror, Mystery, Thriller",7.6,$96.52M,Alejandro Amenábar
Star Wars: Episode III - Revenge of the Sith,140,"Action, Adventure, Fantasy",7.6,$380.26M,George Lucas
21 Grams,124,"Crime, Drama, Thriller",7.6,$16.29M,Alejandro G. Iñárritu
Lethal Weapon,109,"Action, Crime, Thriller",7.6,$65.21M,Richard Donner
The Thin Red Line,170,"Drama, History, War",7.6,$36.40M,Terrence Malick
The Godfather Part III,162,"Crime, Drama",7.6,$66.67M,Francis Ford Coppola
Sabrina,113,"Comedy, Drama, Romance",7.6,"67,702",Billy Wilder
The Visitor,104,Drama,7.6,$9.42M,Tom McCarthy
RoboCop,102,"Action, Crime, Sci-Fi",7.6,$53.42M,Paul Verhoeven
The Incredible Shrinking Man,81,"Horror, Sci-Fi",7.6,"18,968",Jack Arnold
Duel,90,"Action, Thriller",7.6,"74,486",Steven Spielberg
La piel que habito,120,"Drama, Horror, Mystery",7.6,$3.19M,Pedro Almodóvar
Moulin Rouge!,127,"Drama, Musical, Romance",7.6,$57.39M,Baz Luhrmann
Minority Report,145,"Action, Crime, Mystery",7.6,$132.07M,Steven Spielberg
The Royal Tenenbaums,110,"Comedy, Drama",7.6,$52.36M,Wes Anderson
Love Actually,135,"Comedy, Drama, Romance",7.6,$59.70M,Richard Curtis
Die Hard with a Vengeance,128,"Action, Adventure, Thriller",7.6,$100.01M,John McTiernan
Eastern Promises,100,"Crime, Drama, Thriller",7.6,$17.11M,David Cronenberg
The Station Agent,89,"Comedy, Drama",7.6,$5.74M,Tom McCarthy
Watchmen,162,"Action, Drama, Mystery",7.6,$107.51M,Zack Snyder
Vera Drake,125,"Crime, Drama",7.6,$3.75M,Mike Leigh
Despicable Me,95,"Animation, Adventure, Comedy",7.6,$251.51M,Pierre Coffin
Inside Man,129,"Crime, Drama, Mystery",7.6,$88.51M,Spike Lee
Zombieland,88,"Action, Comedy, Horror",7.6,$75.59M,Ruben Fleischer
Lost Highway,134,"Mystery, Thriller",7.6,$3.80M,David Lynch
The Reader,124,"Drama, Romance",7.6,$34.19M,Stephen Daldry
300,117,"Action, Drama",7.6,$210.61M,Zack Snyder
American Psycho,102,"Crime, Drama, Horror",7.6,$15.07M,Mary Harron
Sherlock Holmes,128,"Action, Adventure, Mystery",7.6,$209.03M,Guy Ritchie
Lord of War,122,"Crime, Drama",7.6,$24.15M,Andrew Niccol
Traffic,147,"Crime, Drama, Thriller",7.6,$124.12M,Steven Soderbergh
Falling Down,113,"Action, Crime, Drama",7.6,$40.90M,Joel Schumacher
Mysterious Skin,105,Drama,7.6,$0.70M,Gregg Araki
The Hunger Games: Catching Fire,146,"Action, Adventure, Sci-Fi",7.5,$424.67M,Francis Lawrence
The Life of David Gale,130,"Crime, Drama, Thriller",7.5,$19.59M,Alan Parker
Sideways,127,"Comedy, Drama, Romance",7.5,$71.50M,Alexander Payne
Babel,143,Drama,7.5,$34.30M,Alejandro G. Iñárritu
Gangs of New York,167,"Crime, Drama",7.5,$77.81M,Martin Scorsese
The Hurt Locker,131,"Drama, Thriller, War",7.5,$17.02M,Kathryn Bigelow
Jackie Brown,154,"Crime, Drama, Thriller",7.5,$39.67M,Quentin Tarantino
Collateral,120,"Action, Crime, Drama",7.5,$101.01M,Michael Mann
Sleepers,147,"Crime, Drama, Thriller",7.5,$49.10M,Barry Levinson
The Aviator,170,"Biography, Drama",7.5,$102.61M,Martin Scorsese
Ne le dis à personne,131,"Crime, Drama, Mystery",7.5,$6.18M,Guillaume Canet
Midnight Run,126,"Action, Comedy, Crime",7.5,$38.41M,Martin Brest
Ice Age,81,"Animation, Adventure, Comedy",7.5,$176.39M,Chris Wedge
Milk,128,"Biography, Drama, History",7.5,$31.84M,Gus Van Sant
The Piano,121,"Drama, Music, Romance",7.5,$40.16M,Jane Campion
Thelma & Louise,130,"Adventure, Crime, Drama",7.5,$45.36M,Ridley Scott
Fear and Loathing in Las Vegas,118,"Adventure, Comedy, Drama",7.5,$10.68M,Terry Gilliam
The Illusionist,110,"Drama, Fantasy, Mystery",7.5,$39.87M,Neil Burger
127 Hours,94,"Biography, Drama",7.5,$18.34M,Danny Boyle
The Last Detail,104,"Comedy, Drama",7.5,$3.19M,Hal Ashby
Leaving Las Vegas,111,"Drama, Romance",7.5,$31.97M,Mike Figgis
Fucking Åmål,89,"Comedy, Drama, Romance",7.5,$0.17M,Lukas Moodysson
The Abyss,140,"Adventure, Drama, Mystery",7.5,$54.46M,James Cameron
Total Recall,113,"Action, Adventure, Sci-Fi",7.5,$119.39M,Paul Verhoeven
A Single Man,99,"Crime, Drama, Romance",7.5,$9.17M,Tom Ford
The Crow,102,"Action, Crime, Drama",7.5,$50.69M,Alex Proyas
Dark Passage,106,"Film-Noir, Thriller",7.5,"21,065",Delmer Daves
A Fish Called Wanda,108,"Comedy, Crime",7.5,$63.49M,Charles Crichton
Boys Don't Cry,118,"Biography, Crime, Drama",7.5,$11.53M,Kimberly Peirce
Thank You for Smoking,92,"Comedy, Drama",7.5,$24.79M,Jason Reitman
The Conjuring,112,"Horror, Mystery, Thriller",7.5,$137.40M,James Wan
Sophie's Choice,150,"Drama, Romance",7.5,$30.04M,Alan J. Pakula
Les Misérables,158,"Drama, Musical, Romance",7.5,$148.81M,Tom Hooper
The Hours,110,"Drama, Romance",7.5,$41.68M,Stephen Daldry
The Man Who Wasn't There,116,"Crime, Drama",7.5,$7.49M,Joel Coen
Braindead,104,"Comedy, Fantasy, Horror",7.5,$0.24M,Peter Jackson
Perfume: The Story of a Murderer,147,"Crime, Drama, Fantasy",7.5,$2.22M,Tom Tykwer
The Evil Dead,85,Horror,7.4,$2.40M,Sam Raimi
Army of Darkness,81,"Comedy, Horror",7.4,$11.50M,Sam Raimi
Witness,112,"Drama, Romance, Thriller",7.4,$68.71M,Peter Weir
High Fidelity,113,"Comedy, Drama, Music",7.4,$27.29M,Stephen Frears
Zero Dark Thirty,157,"Drama, History, Thriller",7.4,$95.72M,Kathryn Bigelow
Carrie,98,"Horror, Mystery",7.4,$33.80M,Brian De Palma
Frequency,118,"Crime, Drama, Mystery",7.4,$45.01M,Gregory Hoblit
Frozen,102,"Animation, Adventure, Comedy",7.4,$400.74M,Chris Buck
Biutiful,148,"Drama, Romance",7.4,$5.10M,Alejandro G. Iñárritu
La mala educación,106,"Crime, Drama",7.4,$5.21M,Pedro Almodóvar
Man on the Moon,118,"Biography, Comedy, Drama",7.4,$34.58M,Milos Forman
Tootsie,116,"Comedy, Drama, Romance",7.4,$177.20M,Sydney Pollack
Erin Brockovich,131,"Biography, Drama",7.4,$125.60M,Steven Soderbergh
Mission: Impossible - Rogue Nation,131,"Action, Adventure, Thriller",7.4,$195.04M,Christopher McQuarrie
The Texas Chain Saw Massacre,83,Horror,7.4,$30.86M,Tobe Hooper
Tillsammans,106,"Comedy, Drama, Romance",7.4,$1.07M,Lukas Moodysson
Garden State,102,"Comedy, Drama, Romance",7.4,$26.78M,Zach Braff
The Hobbit: The Battle of the Five Armies,144,"Adventure, Fantasy",7.4,$255.12M,Peter Jackson
Transamerica,103,"Adventure, Comedy, Drama",7.4,$9.02M,Duncan Tucker
El orfanato,105,"Drama, Horror, Mystery",7.4,$7.16M,J.A. Bayona
The Talented Mr. Ripley,139,"Crime, Drama, Thriller",7.4,$81.30M,Anthony Minghella
An Affair to Remember,115,"Drama, Romance",7.4,"31,778",Leo McCarey
Maria Full of Grace,101,"Crime, Drama",7.4,$6.52M,Joshua Marston
In the Bedroom,131,"Crime, Drama",7.4,$35.93M,Todd Field
Marathon Man,125,"Crime, Drama, Thriller",7.4,$21.71M,John Schlesinger
Looper,119,"Action, Drama, Sci-Fi",7.4,$66.49M,Rian Johnson
Mission: Impossible - Ghost Protocol,132,"Action, Adventure, Thriller",7.4,$209.40M,Brad Bird
Spider-Man 2,127,"Action, Adventure, Sci-Fi",7.4,$373.59M,Sam Raimi
The English Patient,162,"Drama, Romance, War",7.4,$78.65M,Anthony Minghella
The Cider House Rules,126,"Drama, Romance",7.4,$57.55M,Lasse Hallström
A Nightmare on Elm Street,91,Horror,7.4,$25.50M,Wes Craven
Scream,111,"Horror, Mystery",7.4,$103.05M,Wes Craven
A History of Violence,96,"Action, Crime, Drama",7.4,$31.49M,David Cronenberg
Pirates of the Caribbean: Dead Man's Chest,151,"Action, Adventure, Fantasy",7.3,$423.32M,Gore Verbinski
Speed,116,"Action, Adventure, Thriller",7.3,$121.25M,Jan de Bont
Face/Off,138,"Action, Crime, Sci-Fi",7.3,$112.23M,John Woo
Sleepy Hollow,105,"Fantasy, Horror, Mystery",7.3,$101.07M,Tim Burton
Sweeney Todd: The Demon Barber of Fleet Street,116,"Drama, Horror, Musical",7.3,$52.90M,Tim Burton
X-Men,104,"Action, Adventure, Sci-Fi",7.3,$157.30M,Bryan Singer
Easy Rider,95,"Adventure, Drama",7.3,$41.73M,Dennis Hopper
From Russia with Love,115,"Action, Adventure, Thriller",7.3,$24.80M,Terence Young
"Good Morning, Vietnam",121,"Biography, Comedy, Drama",7.3,$123.92M,Barry Levinson
Corpse Bride,77,"Animation, Drama, Family",7.3,$53.36M,Tim Burton
Get Carter,112,"Action, Crime, Thriller",7.3,$0.39M,Mike Hodges
Memoirs of a Geisha,145,"Drama, Romance",7.3,$57.49M,Rob Marshall
Beverly Hills Cop,105,"Action, Comedy, Crime",7.3,$234.76M,Martin Brest
Chocolat,121,"Drama, Romance",7.3,$71.51M,Lasse Hallström
Cape Fear,128,"Crime, Thriller",7.3,$79.10M,Martin Scorsese
Unbreakable,106,"Drama, Mystery, Sci-Fi",7.3,$95.01M,M. Night Shyamalan
Irréversible,97,"Crime, Drama, Mystery",7.3,$0.75M,Gaspar Noé
Lincoln,150,"Biography, Drama, History",7.3,$182.21M,Steven Spielberg
13 Tzameti,93,"Crime, Drama, Thriller",7.3,$0.12M,Géla Babluani
Enemy of the State,132,"Action, Thriller",7.3,$111.55M,Tony Scott
"Girl, Interrupted",127,"Biography, Drama",7.3,$28.87M,James Mangold
Fracture,113,"Crime, Drama, Thriller",7.2,$39.02M,Gregory Hoblit
Closer,104,"Drama, Romance",7.2,$33.99M,Mike Nichols
King Kong,187,"Action, Adventure, Romance",7.2,$218.08M,Peter Jackson
The Darjeeling Limited,91,"Adventure, Comedy, Drama",7.2,$11.90M,Wes Anderson
I Am Legend,101,"Action, Drama, Horror",7.2,$256.39M,Francis Lawrence
Lethal Weapon 2,114,"Action, Crime, Thriller",7.2,$147.25M,Richard Donner
The Descent,99,"Adventure, Horror, Thriller",7.2,$26.02M,Neil Marshall
Wonder Boys,107,"Comedy, Drama",7.2,$19.39M,Curtis Hanson
Born on the Fourth of July,145,"Biography, Drama, War",7.2,$70.00M,Oliver Stone
The Hunger Games,142,"Action, Adventure, Sci-Fi",7.2,$408.01M,Gary Ross
They Live,94,"Action, Horror, Sci-Fi",7.2,$13.01M,John Carpenter
Sunshine,107,"Sci-Fi, Thriller",7.2,$3.68M,Danny Boyle
Chicago,113,"Comedy, Crime, Musical",7.2,$170.69M,Rob Marshall
La Cage aux folles,97,Comedy,7.2,$20.42M,Édouard Molinaro
Broken Flowers,106,"Comedy, Drama, Mystery",7.2,$13.74M,Jim Jarmusch
GoldenEye,130,"Action, Adventure, Thriller",7.2,$106.60M,Martin Campbell
The Bank Job,111,"Crime, Drama, Thriller",7.2,$30.06M,Roger Donaldson
Insomnia,118,"Drama, Mystery, Thriller",7.2,$67.36M,Christopher Nolan
Harry Brown,103,"Action, Crime, Drama",7.2,$1.82M,Daniel Barber
The Ghost Writer,128,"Crime, Drama, Mystery",7.2,$15.54M,Roman Polanski
About Schmidt,125,Drama,7.2,$65.02M,Alexander Payne
The Virgin Suicides,97,"Drama, Romance",7.2,$4.86M,Sofia Coppola
Avanti!,144,"Comedy, Romance",7.2,$3.30M,Billy Wilder
A.I. Artificial Intelligence,146,"Drama, Sci-Fi",7.2,$78.62M,Steven Spielberg
Deja Vu,126,"Action, Crime, Sci-Fi",7.1,$64.04M,Tony Scott
Valkyrie,121,"Drama, History, Thriller",7.1,$83.08M,Bryan Singer
Alive,128,"Adventure, Biography, Drama",7.1,$36.73M,Frank Marshall
The Accused,111,"Crime, Drama",7.1,$32.07M,Jonathan Kaplan
Pour elle,96,"Crime, Drama, Thriller",7.1,"9,539",Fred Cavayé
In the Mouth of Madness,95,"Drama, Fantasy, Horror",7.1,$8.95M,John Carpenter
Mrs. Doubtfire,125,"Comedy, Drama",7.1,$219.20M,Chris Columbus
Planet Terror,105,"Action, Comedy, Horror",7.1,"217,328",Robert Rodriguez
Pirates of the Caribbean: At World's End,169,"Action, Adventure, Fantasy",7.1,$309.42M,Gore Verbinski
Die Hard 2,124,"Action, Thriller",7.1,$117.54M,Renny Harlin
Cube,90,"Horror, Mystery, Sci-Fi",7.1,$0.50M,Vincenzo Natali
Metallica Through the Never,93,Music,7.1,$3.42M,Nimród Antal
Phone Booth,81,"Crime, Thriller",7.1,$46.57M,Joel Schumacher
Monster's Ball,111,"Drama, Romance",7.1,$31.27M,Marc Forster
Mission: Impossible,110,"Action, Adventure, Thriller",7.1,$180.98M,Brian De Palma
The Spy Who Loved Me,125,"Action, Adventure, Thriller",7,$46.80M,Lewis Gilbert
Hundraåringen som klev ut genom fönstret och försvann,114,"Adventure, Comedy",7,$1.08M,Felix Herngren
Prometheus,124,"Adventure, Mystery, Sci-Fi",7,$126.48M,Ridley Scott
Breakdown,93,"Crime, Drama, Mystery",7,$50.13M,Jonathan Mostow
Spy Game,126,"Action, Crime, Thriller",7,$0.03M,Tony Scott
Martyrs,99,Horror,7,"100,269",Pascal Laugier
Death Proof,127,"Action, Thriller",7,"301,895",Quentin Tarantino
Tinker Tailor Soldier Spy,127,"Drama, Mystery, Thriller",7,$24.15M,Tomas Alfredson
The Quiet American,101,"Drama, Romance, Thriller",7,$12.99M,Phillip Noyce
Hard Candy,104,"Drama, Thriller",7,$1.01M,David Slade
Out of Sight,123,"Comedy, Crime, Drama",7,$37.56M,Steven Soderbergh
Oblivion,124,"Action, Adventure, Sci-Fi",7,$89.02M,Joseph Kosinski
Hors de prix,106,"Comedy, Romance",7,$1.50M,Pierre Salvadori
Basic Instinct,127,"Drama, Mystery, Thriller",7,$117.73M,Paul Verhoeven
Trance,101,"Crime, Drama, Mystery",6.9,$2.32M,Danny Boyle
Ultimo tango a Parigi,129,"Drama, Romance",6.9,$36.14M,Bernardo Bertolucci
Non-Stop,106,"Action, Mystery, Thriller",6.9,$92.17M,Jaume Collet-Serra
Fatal Attraction,119,"Drama, Thriller",6.9,$156.65M,Adrian Lyne
Any Given Sunday,162,"Drama, Sport",6.9,$75.53M,Oliver Stone
The Amazing Spider-Man,136,"Action, Adventure, Sci-Fi",6.9,$262.03M,Marc Webb
Water for Elephants,122,"Drama, Romance",6.9,$58.71M,Francis Lawrence
Sinister - Entidade do Mal,110,"Horror, Mystery, Thriller",6.8,$48.09M,Scott Derrickson
The Pledge,124,"Crime, Drama, Mystery",6.8,$19.72M,Sean Penn
Mad Max,88,"Action, Adventure, Sci-Fi",6.8,$8.75M,George Miller
Mammoth,125,"Drama, Romance",6.8,$0.01M,Lukas Moodysson
The Island,136,"Action, Sci-Fi, Thriller",6.8,$35.82M,Michael Bay
Hellboy,122,"Action, Adventure, Fantasy",6.8,$59.62M,Guillermo del Toro
The Score,124,"Action, Crime, Drama",6.8,$71.07M,Frank Oz
Exam,101,"Crime, Horror, Mystery",6.8,"120,473",Stuart Hazeldine
Spectre,148,"Action, Adventure, Thriller",6.8,$200.07M,Sam Mendes
Dead Calm,96,"Horror, Thriller",6.8,$7.83M,Phillip Noyce
Insidious,103,"Horror, Mystery, Thriller",6.8,$54.01M,James Wan
Mielensäpahoittaja,102,"Comedy, Drama",6.7,"2,794",Dome Karukoski
The Good Shepherd,167,"Drama, History, Thriller",6.7,$59.95M,Robert De Niro
Under the Tuscan Sun,113,"Comedy, Drama, Romance",6.7,$43.61M,Audrey Wells
The Horse Whisperer,169,"Drama, Romance, Western",6.7,$75.38M,Robert Redford
Escape Plan,115,"Action, Thriller",6.7,$25.13M,Mikael Håfström
Imagine Me & You,90,"Comedy, Drama, Romance",6.7,$0.67M,Ol Parker
The Hand That Rocks the Cradle,110,"Drama, Thriller",6.7,$88.04M,Curtis Hanson
Final Destination,98,"Horror, Thriller",6.7,$53.33M,James Wong
Haute tension,91,Horror,6.7,$3.68M,Alexandre Aja
Joy Ride,97,"Action, Mystery, Thriller",6.6,$21.97M,John Dahl
Pirates of the Caribbean: On Stranger Tides,137,"Action, Adventure, Fantasy",6.6,$241.06M,Rob Marshall
Alceste à bicyclette,104,"Comedy, Drama",6.6,$0.06M,Philippe Le Guay
What Lies Beneath,130,"Drama, Horror, Mystery",6.6,$155.46M,Robert Zemeckis
"Me, Myself & Irene",116,Comedy,6.6,$90.57M,Bobby Farrelly
Cliffhanger,113,"Action, Adventure, Thriller",6.5,$84.05M,Renny Harlin
The Mechanic,93,"Action, Crime, Thriller",6.5,$29.12M,Simon West
Marie-Jo et ses 2 amours,124,"Drama, Romance",6.5,814,Robert Guédiguian
Mamma Mia!,108,"Comedy, Musical, Romance",6.5,$144.13M,Phyllida Lloyd
Diamonds Are Forever,120,"Action, Adventure, Thriller",6.5,$43.82M,Guy Hamilton
Heist,109,"Action, Crime, Drama",6.5,$0.05M,David Mamet
It's Complicated,121,"Comedy, Drama, Romance",6.5,$112.74M,Nancy Meyers
A Walk Among the Tombstones,114,"Action, Crime, Drama",6.5,$26.31M,Scott Frank
Last Action Hero,130,"Action, Adventure, Comedy",6.5,$50.02M,John McTiernan
The Crazies,101,"Horror, Thriller",6.5,$39.12M,Breck Eisner
Sin City: A Dame to Kill For,102,"Action, Crime, Thriller",6.5,$13.76M,Frank Miller
Godzilla,123,"Action, Adventure, Sci-Fi",6.4,$200.68M,Gareth Edwards
Session 9,100,"Drama, Horror, Mystery",6.4,$0.38M,Brad Anderson
Salt,100,"Action, Thriller",6.4,$118.31M,Phillip Noyce
"As Above, So Below",93,"Horror, Mystery, Thriller",6.2,$21.20M,John Erick Dowdle
Sleeping with the Enemy,99,"Drama, Thriller",6.2,$101.60M,Joseph Ruben
Fear,97,"Drama, Thriller",6.2,$20.75M,James Foley
Taken 2,92,"Action, Crime, Thriller",6.2,$139.85M,Olivier Megaton
Miami Vice,132,"Action, Adventure, Crime",6,$63.45M,Michael Mann
Iron Sky,93,"Action, Adventure, Comedy",5.9,"95,470",Timo Vuorensola
I Know What You Did Last Summer,101,"Horror, Mystery",5.8,$72.59M,Jim Gillespie
Eat Pray Love,133,"Biography, Drama, Romance",5.8,$80.57M,Ryan Murphy
Los amantes pasajeros,90,"Comedy, Musical",5.6,$1.37M,Pedro Almodóvar
